id,company,ticker,industry,difficulty,category,concept,question,answer,answer_formatted,answer_type,formal_program,computation_trace,variables_used,periods_used
QA-00199,Meridian Systems Inc,MSI,Financial Services,5,liquidity,did_current_ratio_improve,Did Meridian Systems Inc's current ratio improve from 2021 to 2022?,True,Yes,boolean,"compare_gt(current_ratio(2022), current_ratio(2021))","current_ratio(2021)=1.1161, current_ratio(2022)=1.2919, improved=True, change=0.1758",total_current_assets|total_current_liabilities,2021|2022
QA-00200,Meridian Systems Inc,MSI,Financial Services,5,cash_flow,change_in_fcf_margin,How did Meridian Systems Inc's free cash flow margin change from 2021 to 2022?,-0.0134,-0.0134,ratio_change,"diff(ratio(diff(cash_from_operations, capital_expenditures), total_revenue, 2022), ratio(diff(cash_from_operations, capital_expenditures), total_revenue, 2021))",FCF_margin(2022) - FCF_margin(2021) = 0.2838 - 0.2971 = -0.0134,cash_from_operations|capital_expenditures|total_revenue,2021|2022
QA-00201,Keystone Industries,KI,Healthcare / Pharma,1,lookup,,"According to the 2020 financial statements, what was the long-term debt?",167854.0,"$167,854 million",monetary,"get_value(long_term_debt, 2020)",long_term_debt(2020) = 167854.0,long_term_debt,2020
QA-00202,Keystone Industries,KI,Healthcare / Pharma,1,lookup,,How much did Keystone Industries report for common stock in fiscal year 2022?,25.0,$25.00 million,monetary,"get_value(common_stock, 2022)",common_stock(2022) = 25.0,common_stock,2022
QA-00203,Keystone Industries,KI,Healthcare / Pharma,1,lookup,,What was Keystone Industries's research and development expense as of 2022?,37600.0,"$37,600 million",monetary,"get_value(research_and_development, 2022)",research_and_development(2022) = 37600.0,research_and_development,2022
QA-00204,Keystone Industries,KI,Healthcare / Pharma,1,lookup,,What was Keystone Industries's deferred tax liabilities as of 2020?,5421.0,"$5,421 million",monetary,"get_value(deferred_tax_liabilities, 2020)",deferred_tax_liabilities(2020) = 5421.0,deferred_tax_liabilities,2020
QA-00205,Keystone Industries,KI,Healthcare / Pharma,1,lookup,,What was the deferred tax assets in 2020?,1563.0,"$1,563 million",monetary,"get_value(deferred_tax_assets, 2020)",deferred_tax_assets(2020) = 1563.0,deferred_tax_assets,2020
QA-00206,Keystone Industries,KI,Healthcare / Pharma,1,lookup,,What was the other non-current assets in 2022?,0.0,$0.00 million,monetary,"get_value(other_non_current_assets, 2022)",other_non_current_assets(2022) = 0.0,other_non_current_assets,2022
QA-00207,Keystone Industries,KI,Healthcare / Pharma,1,lookup,,What was Keystone Industries's total non-current assets as of 2022?,108750.0,"$108,750 million",monetary,"get_value(total_non_current_assets, 2022)",total_non_current_assets(2022) = 108750.0,total_non_current_assets,2022
QA-00208,Keystone Industries,KI,Healthcare / Pharma,1,lookup,,What was Keystone Industries's stock-based compensation as of 2021?,1215.0,"$1,215 million",monetary,"get_value(stock_based_compensation, 2021)",stock_based_compensation(2021) = 1215.0,stock_based_compensation,2021
QA-00209,Keystone Industries,KI,Healthcare / Pharma,1,lookup,,What was Keystone Industries's total current assets as of 2022?,41273.0,"$41,273 million",monetary,"get_value(total_current_assets, 2022)",total_current_assets(2022) = 41273.0,total_current_assets,2022
QA-00210,Keystone Industries,KI,Healthcare / Pharma,1,lookup,,"According to the 2021 financial statements, what was the other non-current liabilities?",5798.0,"$5,798 million",monetary,"get_value(other_non_current_liabilities, 2021)",other_non_current_liabilities(2021) = 5798.0,other_non_current_liabilities,2021
QA-00211,Keystone Industries,KI,Healthcare / Pharma,2,change,,How did net income change from fiscal year 2021 to 2022?,-27478.0,"$-27,478 million",monetary,"diff(get_value(net_income, 2022), get_value(net_income, 2021))",net_income(2022) - net_income(2021) = 20612.0 - 48090.0 = -27478.0,net_income,2021|2022
QA-00212,Keystone Industries,KI,Healthcare / Pharma,2,change,,By how much did long-term debt increase or decrease between 2021 and 2022?,-24563.0,"$-24,563 million",monetary,"diff(get_value(long_term_debt, 2022), get_value(long_term_debt, 2021))",long_term_debt(2022) - long_term_debt(2021) = 27091.0 - 51654.0 = -24563.0,long_term_debt,2021|2022
QA-00213,Keystone Industries,KI,Healthcare / Pharma,2,change,,How did total revenue change from fiscal year 2021 to 2022?,24219.0,"$24,219 million",monetary,"diff(get_value(total_revenue, 2022), get_value(total_revenue, 2021))",total_revenue(2022) - total_revenue(2021) = 212583.0 - 188364.0 = 24219.0,total_revenue,2021|2022
QA-00214,Keystone Industries,KI,Healthcare / Pharma,2,change,,What was the year-over-year change in Keystone Industries's total assets from 2021 to 2022?,1804.0,"$1,804 million",monetary,"diff(get_value(total_assets, 2022), get_value(total_assets, 2021))",total_assets(2022) - total_assets(2021) = 150023.0 - 148219.0 = 1804.0,total_assets,2021|2022
QA-00215,Keystone Industries,KI,Healthcare / Pharma,2,change,,How did gross profit change from fiscal year 2021 to 2022?,-8665.0,"$-8,665 million",monetary,"diff(get_value(gross_profit, 2022), get_value(gross_profit, 2021))",gross_profit(2022) - gross_profit(2021) = 129921.0 - 138586.0 = -8665.0,gross_profit,2021|2022
QA-00216,Keystone Industries,KI,Healthcare / Pharma,2,change,,What was the change in operating income from 2021 to 2022?,-27986.0,"$-27,986 million",monetary,"diff(get_value(operating_income, 2022), get_value(operating_income, 2021))",operating_income(2022) - operating_income(2021) = 26062.0 - 54048.0 = -27986.0,operating_income,2021|2022
QA-00217,Keystone Industries,KI,Healthcare / Pharma,2,ratio,,"For every dollar of total assets, how much long-term debt did Keystone Industries have in 2022?",0.1806,0.1806,ratio,"ratio(get_value(long_term_debt, 2022), get_value(total_assets, 2022))",long_term_debt(2022) / total_assets(2022) = 27091.0 / 150023.0 = 0.1806,long_term_debt|total_assets,2022
QA-00218,Keystone Industries,KI,Healthcare / Pharma,2,ratio,,What percentage of total assets was cash and cash equivalents in 2021?,0.1157,0.1157,ratio,"ratio(get_value(cash_and_equivalents, 2021), get_value(total_assets, 2021))",cash_and_equivalents(2021) / total_assets(2021) = 17142.0 / 148219.0 = 0.1157,cash_and_equivalents|total_assets,2021
QA-00219,Keystone Industries,KI,Healthcare / Pharma,2,ratio,,"For every dollar of total revenue, how much selling, general and administrative expense did Keystone Industries have in 2022?",0.273,0.2730,ratio,"ratio(get_value(selling_general_admin, 2022), get_value(total_revenue, 2022))",selling_general_admin(2022) / total_revenue(2022) = 58042.0 / 212583.0 = 0.273,selling_general_admin|total_revenue,2022
QA-00220,Keystone Industries,KI,Healthcare / Pharma,2,ratio,,What was accounts receivable as a proportion of total revenue in 2021?,0.1176,0.1176,ratio,"ratio(get_value(accounts_receivable_net, 2021), get_value(total_revenue, 2021))",accounts_receivable_net(2021) / total_revenue(2021) = 22158.0 / 188364.0 = 0.1176,accounts_receivable_net|total_revenue,2021
QA-00221,Keystone Industries,KI,Healthcare / Pharma,3,leverage,debt_to_assets,What was the debt-to-assets ratio in 2021?,0.6314,0.6314,ratio,"ratio(get_value(total_liabilities, 2021), get_value(total_assets, 2021))",debt_to_assets(2021) = 0.6314,total_liabilities|total_assets,2021
QA-00222,Keystone Industries,KI,Healthcare / Pharma,3,liquidity,current_ratio,"In 2021, for every dollar of current liabilities, how many dollars of current assets did Keystone Industries have?",2.2024,2.2024,ratio,"ratio(get_value(total_current_assets, 2021), get_value(total_current_liabilities, 2021))",current_ratio(2021) = 2.2024,total_current_assets|total_current_liabilities,2021
QA-00223,Keystone Industries,KI,Healthcare / Pharma,3,cash_flow,free_cash_flow,How much cash was left after capital expenditures in 2020?,34062.0,34062.0000,ratio,"diff(get_value(cash_from_operations, 2020), get_value(capital_expenditures, 2020))",free_cash_flow(2020) = 34062.0,cash_from_operations|capital_expenditures,2020
QA-00224,Keystone Industries,KI,Healthcare / Pharma,3,profitability,return_on_equity,What return did Keystone Industries's equity investors earn in 2022?,0.3122,0.3122,ratio,"ratio(get_value(net_income, 2022), avg(get_value(total_stockholders_equity, 2022), get_value(total_stockholders_equity, 2021)))",return_on_equity(2022) = 0.3122,net_income|total_stockholders_equity,2022|2021
QA-00225,Keystone Industries,KI,Healthcare / Pharma,3,leverage,debt_to_equity,"For every dollar of equity, how much debt did Keystone Industries carry in 2021?",1.7133,1.7133,ratio,"ratio(get_value(total_liabilities, 2021), get_value(total_stockholders_equity, 2021))",debt_to_equity(2021) = 1.7133,total_liabilities|total_stockholders_equity,2021
QA-00226,Keystone Industries,KI,Healthcare / Pharma,3,efficiency,capex_to_revenue,What was capital expenditure as a percentage of revenue in 2021?,0.0737,0.0737,ratio,"ratio(get_value(capital_expenditures, 2021), get_value(total_revenue, 2021))",capex_to_revenue(2021) = 0.0737,capital_expenditures|total_revenue,2021
QA-00227,Keystone Industries,KI,Healthcare / Pharma,3,leverage,interest_coverage,What was the interest coverage ratio in 2021?,161.3373,161.3373,ratio,"ratio(get_value(operating_income, 2021), get_value(interest_expense, 2021))",interest_coverage(2021) = 161.3373,operating_income|interest_expense,2021
QA-00228,Keystone Industries,KI,Healthcare / Pharma,3,efficiency,rd_to_revenue,What percentage of revenue was spent on R&D in 2022?,0.1769,0.1769,ratio,"ratio(get_value(research_and_development, 2022), get_value(total_revenue, 2022))",rd_to_revenue(2022) = 0.1769,research_and_development|total_revenue,2022
QA-00229,Keystone Industries,KI,Healthcare / Pharma,3,profitability,gross_margin,What percentage of revenue was retained after cost of goods sold in 2021?,0.7357,0.7357,ratio,"ratio(get_value(gross_profit, 2021), get_value(total_revenue, 2021))",gross_margin(2021) = 0.7357,gross_profit|total_revenue,2021
QA-00230,Keystone Industries,KI,Healthcare / Pharma,3,profitability,net_profit_margin,What was the net profit margin in 2021?,0.2553,0.2553,ratio,"ratio(get_value(net_income, 2021), get_value(total_revenue, 2021))",net_profit_margin(2021) = 0.2553,net_income|total_revenue,2021
QA-00231,Keystone Industries,KI,Healthcare / Pharma,4,profitability,change_in_gross_margin,How did the gross margin change from 2021 to 2022?,-0.1246,-0.1246,ratio_change,"diff(gross_margin(2022), gross_margin(2021))",gross_margin(2022) - gross_margin(2021) = 0.6112 - 0.7357 = -0.1246,gross_profit|total_revenue,2021|2022
QA-00232,Keystone Industries,KI,Healthcare / Pharma,4,leverage,change_in_debt_to_equity,How did the debt to equity change from 2021 to 2022?,-0.7759,-0.7759,ratio_change,"diff(debt_to_equity(2022), debt_to_equity(2021))",debt_to_equity(2022) - debt_to_equity(2021) = 0.9374 - 1.7133 = -0.7759,total_liabilities|total_stockholders_equity,2021|2022
QA-00233,Keystone Industries,KI,Healthcare / Pharma,4,profitability,change_in_operating_margin,How did the operating margin change from 2021 to 2022?,-0.1643,-0.1643,ratio_change,"diff(operating_margin(2022), operating_margin(2021))",operating_margin(2022) - operating_margin(2021) = 0.1226 - 0.2869 = -0.1643,operating_income|total_revenue,2021|2022
QA-00234,Keystone Industries,KI,Healthcare / Pharma,4,profitability,change_in_net_profit_margin,By how much did the net profit margin change from fiscal year 2021 to 2022?,-0.1583,-0.1583,ratio_change,"diff(net_profit_margin(2022), net_profit_margin(2021))",net_profit_margin(2022) - net_profit_margin(2021) = 0.097 - 0.2553 = -0.1583,net_income|total_revenue,2021|2022
QA-00235,Keystone Industries,KI,Healthcare / Pharma,4,growth,asset_growth,What was the year-over-year growth in Keystone Industries's asset base?,1.22,1.22%,percentage,"pct_change(total_assets, 2021, 2022)",(total_assets(2022) - total_assets(2021)) / |total_assets(2021)| * 100 = (150023.0 - 148219.0) / 148219.0 * 100 = 1.22%,total_assets,2021|2022
QA-00236,Keystone Industries,KI,Healthcare / Pharma,4,growth,operating_income_growth,By what percentage did operating profit grow?,-51.78,-51.78%,percentage,"pct_change(operating_income, 2021, 2022)",(operating_income(2022) - operating_income(2021)) / |operating_income(2021)| * 100 = (26062.0 - 54048.0) / 54048.0 * 100 = -51.78%,operating_income,2021|2022
QA-00237,Keystone Industries,KI,Healthcare / Pharma,4,growth,revenue_growth,By what percentage did Keystone Industries's revenue change from 2021 to 2022?,12.86,12.86%,percentage,"pct_change(total_revenue, 2021, 2022)",(total_revenue(2022) - total_revenue(2021)) / |total_revenue(2021)| * 100 = (212583.0 - 188364.0) / 188364.0 * 100 = 12.86%,total_revenue,2021|2022
QA-00238,Keystone Industries,KI,Healthcare / Pharma,5,leverage,did_debt_to_equity_improve,"Did the debt to equity get better from 2021 to 2022, and by how much?",True,Yes,boolean,"compare_gt(debt_to_equity(2022), debt_to_equity(2021))","debt_to_equity(2021)=1.7133, debt_to_equity(2022)=0.9374, improved=True, change=-0.7759",total_liabilities|total_stockholders_equity,2021|2022
QA-00239,Keystone Industries,KI,Healthcare / Pharma,5,profitability,did_gross_margin_improve,Did Keystone Industries's gross margin improve from 2021 to 2022?,False,No,boolean,"compare_gt(gross_margin(2022), gross_margin(2021))","gross_margin(2021)=0.7357, gross_margin(2022)=0.6112, improved=False, change=-0.1246",gross_profit|total_revenue,2021|2022
QA-00240,Keystone Industries,KI,Healthcare / Pharma,5,cash_flow,change_in_fcf_margin,How did Keystone Industries's free cash flow margin change from 2021 to 2022?,-0.1021,-0.1021,ratio_change,"diff(ratio(diff(cash_from_operations, capital_expenditures), total_revenue, 2022), ratio(diff(cash_from_operations, capital_expenditures), total_revenue, 2021))",FCF_margin(2022) - FCF_margin(2021) = 0.1351 - 0.2372 = -0.1021,cash_from_operations|capital_expenditures|total_revenue,2021|2022
QA-00241,Sterling Aerospace,SA,Financial Services,1,lookup,,What was the short-term debt in 2021?,15632.0,"$15,632 million",monetary,"get_value(short_term_debt, 2021)",short_term_debt(2021) = 15632.0,short_term_debt,2021
QA-00242,Sterling Aerospace,SA,Financial Services,1,lookup,,"According to the 2022 financial statements, what was the deferred tax assets?",676.0,$676.00 million,monetary,"get_value(deferred_tax_assets, 2022)",deferred_tax_assets(2022) = 676.0,deferred_tax_assets,2022
QA-00243,Sterling Aerospace,SA,Financial Services,1,lookup,,How much did Sterling Aerospace report for net cash from operating activities in fiscal year 2021?,28220.0,"$28,220 million",monetary,"get_value(cash_from_operations, 2021)",cash_from_operations(2021) = 28220.0,cash_from_operations,2021
QA-00244,Sterling Aerospace,SA,Financial Services,1,lookup,,"According to the 2022 financial statements, what was the total liabilities?",156446.0,"$156,446 million",monetary,"get_value(total_liabilities, 2022)",total_liabilities(2022) = 156446.0,total_liabilities,2022
QA-00245,Sterling Aerospace,SA,Financial Services,1,lookup,,How much did Sterling Aerospace report for accounts payable in fiscal year 2022?,8449.0,"$8,449 million",monetary,"get_value(accounts_payable, 2022)",accounts_payable(2022) = 8449.0,accounts_payable,2022
QA-00246,Sterling Aerospace,SA,Financial Services,1,lookup,,How much did Sterling Aerospace report for debt repaid in fiscal year 2022?,169.0,$169.00 million,monetary,"get_value(debt_repaid, 2022)",debt_repaid(2022) = 169.0,debt_repaid,2022
QA-00247,Sterling Aerospace,SA,Financial Services,1,lookup,,What was the cost of goods sold in 2022?,14987.0,"$14,987 million",monetary,"get_value(cost_of_goods_sold, 2022)",cost_of_goods_sold(2022) = 14987.0,cost_of_goods_sold,2022
QA-00248,Sterling Aerospace,SA,Financial Services,1,lookup,,What was the diluted earnings per share in 2021?,10.7,$10.70 million,monetary,"get_value(eps_diluted, 2021)",eps_diluted(2021) = 10.7,eps_diluted,2021
QA-00249,Sterling Aerospace,SA,Financial Services,1,lookup,,How much did Sterling Aerospace report for accounts receivable in fiscal year 2020?,4990.0,"$4,990 million",monetary,"get_value(accounts_receivable_net, 2020)",accounts_receivable_net(2020) = 4990.0,accounts_receivable_net,2020
QA-00250,Sterling Aerospace,SA,Financial Services,1,lookup,,What was the additional paid-in capital in 2020?,3030.0,"$3,030 million",monetary,"get_value(additional_paid_in_capital, 2020)",additional_paid_in_capital(2020) = 3030.0,additional_paid_in_capital,2020
QA-00251,Sterling Aerospace,SA,Financial Services,2,change,,How did operating income change from fiscal year 2021 to 2022?,13946.0,"$13,946 million",monetary,"diff(get_value(operating_income, 2022), get_value(operating_income, 2021))",operating_income(2022) - operating_income(2021) = 43906.0 - 29960.0 = 13946.0,operating_income,2021|2022
QA-00252,Sterling Aerospace,SA,Financial Services,2,change,,What was the year-over-year change in Sterling Aerospace's total revenue from 2021 to 2022?,4991.0,"$4,991 million",monetary,"diff(get_value(total_revenue, 2022), get_value(total_revenue, 2021))",total_revenue(2022) - total_revenue(2021) = 86836.0 - 81845.0 = 4991.0,total_revenue,2021|2022
QA-00253,Sterling Aerospace,SA,Financial Services,2,change,,How did long-term debt change from fiscal year 2021 to 2022?,-16093.0,"$-16,093 million",monetary,"diff(get_value(long_term_debt, 2022), get_value(long_term_debt, 2021))",long_term_debt(2022) - long_term_debt(2021) = 47446.0 - 63539.0 = -16093.0,long_term_debt,2021|2022
QA-00254,Sterling Aerospace,SA,Financial Services,2,change,,By how much did gross profit increase or decrease between 2021 and 2022?,17583.0,"$17,583 million",monetary,"diff(get_value(gross_profit, 2022), get_value(gross_profit, 2021))",gross_profit(2022) - gross_profit(2021) = 71849.0 - 54266.0 = 17583.0,gross_profit,2021|2022
QA-00255,Sterling Aerospace,SA,Financial Services,2,change,,How did net income change from fiscal year 2021 to 2022?,8679.0,"$8,679 million",monetary,"diff(get_value(net_income, 2022), get_value(net_income, 2021))",net_income(2022) - net_income(2021) = 32912.0 - 24233.0 = 8679.0,net_income,2021|2022
QA-00256,Sterling Aerospace,SA,Financial Services,2,change,,By how much did total assets increase or decrease between 2021 and 2022?,3875.0,"$3,875 million",monetary,"diff(get_value(total_assets, 2022), get_value(total_assets, 2021))",total_assets(2022) - total_assets(2021) = 183818.0 - 179943.0 = 3875.0,total_assets,2021|2022
QA-00257,Sterling Aerospace,SA,Financial Services,2,ratio,,What percentage of cost of goods sold was inventories in 2021?,0.0595,0.0595,ratio,"ratio(get_value(inventories, 2021), get_value(cost_of_goods_sold, 2021))",inventories(2021) / cost_of_goods_sold(2021) = 1642.0 / 27579.0 = 0.0595,inventories|cost_of_goods_sold,2021
QA-00258,Sterling Aerospace,SA,Financial Services,2,ratio,,"What percentage of total revenue was selling, general and administrative expense in 2022?",0.2784,0.2784,ratio,"ratio(get_value(selling_general_admin, 2022), get_value(total_revenue, 2022))",selling_general_admin(2022) / total_revenue(2022) = 24174.0 / 86836.0 = 0.2784,selling_general_admin|total_revenue,2022
QA-00259,Sterling Aerospace,SA,Financial Services,2,ratio,,What was cash and cash equivalents as a proportion of total assets in 2021?,0.1368,0.1368,ratio,"ratio(get_value(cash_and_equivalents, 2021), get_value(total_assets, 2021))",cash_and_equivalents(2021) / total_assets(2021) = 24620.0 / 179943.0 = 0.1368,cash_and_equivalents|total_assets,2021
QA-00260,Sterling Aerospace,SA,Financial Services,2,ratio,,What was the ratio of accounts receivable to total revenue in 2020?,0.0636,0.0636,ratio,"ratio(get_value(accounts_receivable_net, 2020), get_value(total_revenue, 2020))",accounts_receivable_net(2020) / total_revenue(2020) = 4990.0 / 78490.0 = 0.0636,accounts_receivable_net|total_revenue,2020
QA-00261,Sterling Aerospace,SA,Financial Services,3,profitability,gross_margin,What was the gross profit margin in 2021?,0.663,0.6630,ratio,"ratio(get_value(gross_profit, 2021), get_value(total_revenue, 2021))",gross_margin(2021) = 0.663,gross_profit|total_revenue,2021
QA-00262,Sterling Aerospace,SA,Financial Services,3,profitability,return_on_assets,How efficiently did Sterling Aerospace use its assets to generate profit in 2022?,0.181,0.1810,ratio,"ratio(get_value(net_income, 2022), avg(get_value(total_assets, 2022), get_value(total_assets, 2021)))",return_on_assets(2022) = 0.181,net_income|total_assets,2022|2021
QA-00263,Sterling Aerospace,SA,Financial Services,3,profitability,effective_tax_rate,What percentage of pre-tax income did Sterling Aerospace pay in taxes in 2021?,0.189,0.1890,ratio,"ratio(get_value(income_tax_expense, 2021), get_value(income_before_tax, 2021))",effective_tax_rate(2021) = 0.189,income_tax_expense|income_before_tax,2021
QA-00264,Sterling Aerospace,SA,Financial Services,3,leverage,debt_to_assets,What percentage of Sterling Aerospace's total assets was financed by debt in 2020?,0.8841,0.8841,ratio,"ratio(get_value(total_liabilities, 2020), get_value(total_assets, 2020))",debt_to_assets(2020) = 0.8841,total_liabilities|total_assets,2020
QA-00265,Sterling Aerospace,SA,Financial Services,3,efficiency,rd_to_revenue,What was Sterling Aerospace's R&D intensity in 2021?,0.0205,0.0205,ratio,"ratio(get_value(research_and_development, 2021), get_value(total_revenue, 2021))",rd_to_revenue(2021) = 0.0205,research_and_development|total_revenue,2021
QA-00266,Sterling Aerospace,SA,Financial Services,3,leverage,interest_coverage,What was the interest coverage ratio in 2021?,97.5896,97.5896,ratio,"ratio(get_value(operating_income, 2021), get_value(interest_expense, 2021))",interest_coverage(2021) = 97.5896,operating_income|interest_expense,2021
QA-00267,Sterling Aerospace,SA,Financial Services,3,profitability,net_profit_margin,How much of each dollar of revenue was net income for Sterling Aerospace in 2022?,0.379,0.3790,ratio,"ratio(get_value(net_income, 2022), get_value(total_revenue, 2022))",net_profit_margin(2022) = 0.379,net_income|total_revenue,2022
QA-00268,Sterling Aerospace,SA,Financial Services,3,profitability,operating_margin,What percentage of Sterling Aerospace's revenue became operating income in 2020?,0.2742,0.2742,ratio,"ratio(get_value(operating_income, 2020), get_value(total_revenue, 2020))",operating_margin(2020) = 0.2742,operating_income|total_revenue,2020
QA-00269,Sterling Aerospace,SA,Financial Services,3,profitability,return_on_equity,What return did Sterling Aerospace's equity investors earn in 2022?,1.2974,1.2974,ratio,"ratio(get_value(net_income, 2022), avg(get_value(total_stockholders_equity, 2022), get_value(total_stockholders_equity, 2021)))",return_on_equity(2022) = 1.2974,net_income|total_stockholders_equity,2022|2021
QA-00270,Sterling Aerospace,SA,Financial Services,3,cash_flow,free_cash_flow,How much cash was left after capital expenditures in 2021?,25281.0,25281.0000,ratio,"diff(get_value(cash_from_operations, 2021), get_value(capital_expenditures, 2021))",free_cash_flow(2021) = 25281.0,cash_from_operations|capital_expenditures,2021
QA-00271,Sterling Aerospace,SA,Financial Services,4,profitability,change_in_net_profit_margin,By how much did the net profit margin change from fiscal year 2021 to 2022?,0.0829,0.0829,ratio_change,"diff(net_profit_margin(2022), net_profit_margin(2021))",net_profit_margin(2022) - net_profit_margin(2021) = 0.379 - 0.2961 = 0.0829,net_income|total_revenue,2021|2022
QA-00272,Sterling Aerospace,SA,Financial Services,4,profitability,change_in_gross_margin,What was the change in Sterling Aerospace's gross margin between 2021 and 2022?,0.1644,0.1644,ratio_change,"diff(gross_margin(2022), gross_margin(2021))",gross_margin(2022) - gross_margin(2021) = 0.8274 - 0.663 = 0.1644,gross_profit|total_revenue,2021|2022
QA-00273,Sterling Aerospace,SA,Financial Services,4,profitability,change_in_operating_margin,How did the operating margin change from 2021 to 2022?,0.1396,0.1396,ratio_change,"diff(operating_margin(2022), operating_margin(2021))",operating_margin(2022) - operating_margin(2021) = 0.5056 - 0.3661 = 0.1396,operating_income|total_revenue,2021|2022
QA-00274,Sterling Aerospace,SA,Financial Services,4,liquidity,change_in_current_ratio,How did the current ratio change from 2021 to 2022?,-0.2993,-0.2993,ratio_change,"diff(current_ratio(2022), current_ratio(2021))",current_ratio(2022) - current_ratio(2021) = 1.0381 - 1.3374 = -0.2993,total_current_assets|total_current_liabilities,2021|2022
QA-00275,Sterling Aerospace,SA,Financial Services,4,growth,operating_income_growth,By what percentage did operating profit grow?,46.55,46.55%,percentage,"pct_change(operating_income, 2021, 2022)",(operating_income(2022) - operating_income(2021)) / |operating_income(2021)| * 100 = (43906.0 - 29960.0) / 29960.0 * 100 = 46.55%,operating_income,2021|2022
QA-00276,Sterling Aerospace,SA,Financial Services,4,growth,equity_growth,What was the growth rate in Sterling Aerospace's book value?,17.16,17.16%,percentage,"pct_change(total_stockholders_equity, 2021, 2022)",(total_stockholders_equity(2022) - total_stockholders_equity(2021)) / |total_stockholders_equity(2021)| * 100 = (27372.0 - 23362.0) / 23362.0 * 100 = 17.16%,total_stockholders_equity,2021|2022
QA-00277,Sterling Aerospace,SA,Financial Services,4,growth,net_income_growth,What was the net income growth rate from 2021 to 2022?,35.81,35.81%,percentage,"pct_change(net_income, 2021, 2022)",(net_income(2022) - net_income(2021)) / |net_income(2021)| * 100 = (32912.0 - 24233.0) / 24233.0 * 100 = 35.81%,net_income,2021|2022
QA-00278,Sterling Aerospace,SA,Financial Services,5,profitability,did_operating_margin_improve,Was there an improvement in the operating margin between 2021 and 2022?,True,Yes,boolean,"compare_gt(operating_margin(2022), operating_margin(2021))","operating_margin(2021)=0.3661, operating_margin(2022)=0.5056, improved=True, change=0.1396",operating_income|total_revenue,2021|2022
QA-00279,Sterling Aerospace,SA,Financial Services,5,liquidity,did_current_ratio_improve,Was there an improvement in the current ratio between 2021 and 2022?,False,No,boolean,"compare_gt(current_ratio(2022), current_ratio(2021))","current_ratio(2021)=1.3374, current_ratio(2022)=1.0381, improved=False, change=-0.2993",total_current_assets|total_current_liabilities,2021|2022
QA-00280,Sterling Aerospace,SA,Financial Services,5,cash_flow,change_in_fcf_margin,How did Sterling Aerospace's free cash flow margin change from 2021 to 2022?,0.1191,0.1191,ratio_change,"diff(ratio(diff(cash_from_operations, capital_expenditures), total_revenue, 2022), ratio(diff(cash_from_operations, capital_expenditures), total_revenue, 2021))",FCF_margin(2022) - FCF_margin(2021) = 0.428 - 0.3089 = 0.1191,cash_from_operations|capital_expenditures|total_revenue,2021|2022
QA-00281,Crimson Pharmaceuticals,CP,Industrial / Manufacturing,1,lookup,,How much did Crimson Pharmaceuticals report for debt issued in fiscal year 2022?,1030.0,"$1,030 million",monetary,"get_value(debt_issued, 2022)",debt_issued(2022) = 1030.0,debt_issued,2022
QA-00282,Crimson Pharmaceuticals,CP,Industrial / Manufacturing,1,lookup,,What was Crimson Pharmaceuticals's interest income as of 2023?,129.0,$129.00 million,monetary,"get_value(interest_income, 2023)",interest_income(2023) = 129.0,interest_income,2023
QA-00283,Crimson Pharmaceuticals,CP,Industrial / Manufacturing,1,lookup,,How much did Crimson Pharmaceuticals report for total liabilities in fiscal year 2023?,35098.0,"$35,098 million",monetary,"get_value(total_liabilities, 2023)",total_liabilities(2023) = 35098.0,total_liabilities,2023
QA-00284,Crimson Pharmaceuticals,CP,Industrial / Manufacturing,1,lookup,,What was Crimson Pharmaceuticals's short-term debt as of 2024?,21741.0,"$21,741 million",monetary,"get_value(short_term_debt, 2024)",short_term_debt(2024) = 21741.0,short_term_debt,2024
QA-00285,Crimson Pharmaceuticals,CP,Industrial / Manufacturing,1,lookup,,What was Crimson Pharmaceuticals's total assets as of 2023?,67097.0,"$67,097 million",monetary,"get_value(total_assets, 2023)",total_assets(2023) = 67097.0,total_assets,2023
QA-00286,Crimson Pharmaceuticals,CP,Industrial / Manufacturing,1,lookup,,How much did Crimson Pharmaceuticals report for retained earnings in fiscal year 2022?,49912.0,"$49,912 million",monetary,"get_value(retained_earnings, 2022)",retained_earnings(2022) = 49912.0,retained_earnings,2022
QA-00287,Crimson Pharmaceuticals,CP,Industrial / Manufacturing,1,lookup,,What was Crimson Pharmaceuticals's dividends paid as of 2023?,2673.0,"$2,673 million",monetary,"get_value(dividends_paid, 2023)",dividends_paid(2023) = 2673.0,dividends_paid,2023
QA-00288,Crimson Pharmaceuticals,CP,Industrial / Manufacturing,1,lookup,,How much did Crimson Pharmaceuticals report for other non-current liabilities in fiscal year 2023?,7731.0,"$7,731 million",monetary,"get_value(other_non_current_liabilities, 2023)",other_non_current_liabilities(2023) = 7731.0,other_non_current_liabilities,2023
QA-00289,Crimson Pharmaceuticals,CP,Industrial / Manufacturing,1,lookup,,How much did Crimson Pharmaceuticals report for income tax expense in fiscal year 2022?,3169.0,"$3,169 million",monetary,"get_value(income_tax_expense, 2022)",income_tax_expense(2022) = 3169.0,income_tax_expense,2022
QA-00290,Crimson Pharmaceuticals,CP,Industrial / Manufacturing,1,lookup,,"According to the 2023 financial statements, what was the net cash from investing activities?",-9279.0,"$-9,279 million",monetary,"get_value(cash_from_investing, 2023)",cash_from_investing(2023) = -9279.0,cash_from_investing,2023
