question_id,depth,question,expression,expression_json,template_expression,answer,template_depth_requested,template_actual_depth,bound_expression_depth,tree_seed,binding_seed,master_seed,derived_prob,template_internal_nodes,template_leaf_slots,bound_leaf_count,leaf_1_key,leaf_1_concept,leaf_1_label,leaf_1_entity,leaf_1_period,leaf_1_unit,leaf_1_value,leaf_2_key,leaf_2_concept,leaf_2_label,leaf_2_entity,leaf_2_period,leaf_2_unit,leaf_2_value,leaf_3_key,leaf_3_concept,leaf_3_label,leaf_3_entity,leaf_3_period,leaf_3_unit,leaf_3_value,leaf_4_key,leaf_4_concept,leaf_4_label,leaf_4_entity,leaf_4_period,leaf_4_unit,leaf_4_value,leaf_5_key,leaf_5_concept,leaf_5_label,leaf_5_entity,leaf_5_period,leaf_5_unit,leaf_5_value,leaf_6_key,leaf_6_concept,leaf_6_label,leaf_6_entity,leaf_6_period,leaf_6_unit,leaf_6_value,leaf_7_key,leaf_7_concept,leaf_7_label,leaf_7_entity,leaf_7_period,leaf_7_unit,leaf_7_value,leaf_8_key,leaf_8_concept,leaf_8_label,leaf_8_entity,leaf_8_period,leaf_8_unit,leaf_8_value,leaf_9_key,leaf_9_concept,leaf_9_label,leaf_9_entity,leaf_9_period,leaf_9_unit,leaf_9_value,leaf_10_key,leaf_10_concept,leaf_10_label,leaf_10_entity,leaf_10_period,leaf_10_unit,leaf_10_value,leaf_11_key,leaf_11_concept,leaf_11_label,leaf_11_entity,leaf_11_period,leaf_11_unit,leaf_11_value,leaf_12_key,leaf_12_concept,leaf_12_label,leaf_12_entity,leaf_12_period,leaf_12_unit,leaf_12_value,leaf_13_key,leaf_13_concept,leaf_13_label,leaf_13_entity,leaf_13_period,leaf_13_unit,leaf_13_value,leaf_14_key,leaf_14_concept,leaf_14_label,leaf_14_entity,leaf_14_period,leaf_14_unit,leaf_14_value,leaf_15_key,leaf_15_concept,leaf_15_label,leaf_15_entity,leaf_15_period,leaf_15_unit,leaf_15_value,leaf_16_key,leaf_16_concept,leaf_16_label,leaf_16_entity,leaf_16_period,leaf_16_unit,leaf_16_value,leaf_17_key,leaf_17_concept,leaf_17_label,leaf_17_entity,leaf_17_period,leaf_17_unit,leaf_17_value,leaf_18_key,leaf_18_concept,leaf_18_label,leaf_18_entity,leaf_18_period,leaf_18_unit,leaf_18_value,leaf_19_key,leaf_19_concept,leaf_19_label,leaf_19_entity,leaf_19_period,leaf_19_unit,leaf_19_value,leaf_20_key,leaf_20_concept,leaf_20_label,leaf_20_entity,leaf_20_period,leaf_20_unit,leaf_20_value,leaf_21_key,leaf_21_concept,leaf_21_label,leaf_21_entity,leaf_21_period,leaf_21_unit,leaf_21_value,leaf_22_key,leaf_22_concept,leaf_22_label,leaf_22_entity,leaf_22_period,leaf_22_unit,leaf_22_value,leaf_23_key,leaf_23_concept,leaf_23_label,leaf_23_entity,leaf_23_period,leaf_23_unit,leaf_23_value
2113,3,evaluate the average inventories for SLRI across years 2020 through 2022,"ratio(sum(sum(42_inventories, 43_inventories), 44_inventories), 3.0)","{""op"": ""ratio"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""42_inventories"", ""depth"": 0}, ""right"": {""leaf"": ""43_inventories"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""44_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""literal"": 3.0, ""depth"": 0}, ""depth"": 3}","{""kind"": ""time_agg"", ""op"": ""avg"", ""depth"": 0}",34221.0,1,0,3,633104213,452858103,42,0.568,0,1,3,42_inventories,inventories,inventories,SLRI,2020,M_USD,23923.0,43_inventories,inventories,inventories,SLRI,2021,M_USD,19238.0,44_inventories,inventories,inventories,SLRI,2022,M_USD,59502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2114,0,Which quantity is given by the total assets for IRCL in 2020?,36_total_assets,"{""leaf"": ""36_total_assets"", ""depth"": 0}","{""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}",307723.0,3,0,0,327667311,954617911,42,0.208,0,1,1,36_total_assets,total_assets,total assets,IRCL,2020,M_USD,307723.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2115,7,what is the difference between pretax income for APEX in 2025 and result of result of ratio of sum of sum of sum of revenue for APEX in 2022 and revenue for APEX in 2023 and revenue for APEX in 2024 and revenue for APEX in 2025 to 4.0 scaled by ratio of total assets to dividends paid for APEX in 2025 scaled by growth between difference between non operating expenses and non operating expenses for APEX in 2024 and non operating expenses for APEX in 2020 ?,"diff(pretax_income, mul(mul(ratio(sum(sum(sum(2_revenue, 3_revenue), 4_revenue), 5_revenue), 4.0), ratio(5_total_assets, 5_dividends_paid)), growth(diff(4_non_operating_expenses, 4_non_operating_expenses), 0_non_operating_expenses)))","{""op"": ""diff"", ""left"": {""derived"": ""pretax_income"", ""expanded"": {""op"": ""diff"", ""left"": {""derived"": ""operating_income"", ""expanded"": {""op"": ""diff"", ""left"": {""derived"": ""gross_profit"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""5_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""5_cost_of_goods_sold"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}, ""right"": {""leaf"": ""5_operating_expenses"", ""depth"": 0}, ""depth"": 2}, ""depth"": 2}, ""right"": {""leaf"": ""5_non_operating_expenses"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}, ""right"": {""op"": ""mul"", ""left"": {""op"": ""mul"", ""left"": {""op"": ""ratio"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""2_revenue"", ""depth"": 0}, ""right"": {""leaf"": ""3_revenue"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""4_revenue"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""5_revenue"", ""depth"": 0}, ""depth"": 3}, ""right"": {""literal"": 4.0, ""depth"": 0}, ""depth"": 4}, ""right"": {""op"": ""ratio"", ""left"": {""leaf"": ""5_total_assets"", ""depth"": 0}, ""right"": {""leaf"": ""5_dividends_paid"", ""depth"": 0}, ""depth"": 1}, ""depth"": 5}, ""right"": {""op"": ""growth"", ""left"": {""op"": ""diff"", ""left"": {""leaf"": ""4_non_operating_expenses"", ""depth"": 0}, ""right"": {""leaf"": ""4_non_operating_expenses"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""0_non_operating_expenses"", ""depth"": 0}, ""depth"": 2}, ""depth"": 6}, ""depth"": 7}","{""op"": ""diff"", ""left"": {""kind"": ""derived_concept"", ""name"": ""pretax_income"", ""depth"": 0}, ""right"": {""op"": ""mul"", ""left"": {""op"": ""mul"", ""left"": {""kind"": ""time_agg"", ""op"": ""avg"", ""depth"": 0}, ""right"": {""op"": ""ratio"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""right"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}, ""depth"": 2, ""kind"": ""node""}, ""right"": {""op"": ""growth"", ""left"": {""op"": ""diff"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""right"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}, ""right"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""depth"": 2, ""kind"": ""node""}, ""depth"": 3, ""kind"": ""node""}, ""depth"": 4, ""kind"": ""node""}",15958834.300720287,4,4,7,879528847,794204228,42,0.101,6,7,13,5_revenue,revenue,revenue,APEX,2025,M_USD,79388.0,5_cost_of_goods_sold,cost_of_goods_sold,cost of goods sold,APEX,2025,M_USD,41447.0,5_operating_expenses,operating_expenses,operating expenses,APEX,2025,M_USD,15969.0,5_non_operating_expenses,non_operating_expenses,non operating expenses,APEX,2025,M_USD,17642.0,2_revenue,revenue,revenue,APEX,2022,M_USD,79021.0,3_revenue,revenue,revenue,APEX,2023,M_USD,88228.0,4_revenue,revenue,revenue,APEX,2024,M_USD,82805.0,5_revenue,revenue,revenue,APEX,2025,M_USD,79388.0,5_total_assets,total_assets,total assets,APEX,2025,M_USD,161365.0,5_dividends_paid,dividends_paid,dividends paid,APEX,2025,M_USD,833.0,4_non_operating_expenses,non_operating_expenses,non operating expenses,APEX,2024,M_USD,16030.0,4_non_operating_expenses,non_operating_expenses,non operating expenses,APEX,2024,M_USD,16030.0,0_non_operating_expenses,non_operating_expenses,non operating expenses,APEX,2020,M_USD,4778.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2116,1,provide the longterm liabilities for PCEN in 2020 .,longterm_liabilities,"{""derived"": ""longterm_liabilities"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""48_total_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""48_current_liabilities"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""longterm_liabilities"", ""depth"": 0}",146454.0,1,0,1,587913699,374358952,42,0.535,0,1,2,48_total_liabilities,total_liabilities,total liabilities,PCEN,2020,M_USD,246479.0,48_current_liabilities,current_liabilities,current liabilities,PCEN,2020,M_USD,100025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2117,6,What do we obtain as the sum of difference between result of current liabilities scaled by income tax and difference between dividends paid and dividends paid for CRPH in 2020 and the maximum of total liabilities for CRPH using values from 2020 through 2025,"sum(diff(mul(84_current_liabilities, 84_income_tax), diff(84_dividends_paid, 84_dividends_paid)), max(max(max(max(max(84_total_liabilities, 85_total_liabilities), 86_total_liabilities), 87_total_liabilities), 88_total_liabilities), 89_total_liabilities))","{""op"": ""sum"", ""left"": {""op"": ""diff"", ""left"": {""op"": ""mul"", ""left"": {""leaf"": ""84_current_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""84_income_tax"", ""depth"": 0}, ""depth"": 1}, ""right"": {""op"": ""diff"", ""left"": {""leaf"": ""84_dividends_paid"", ""depth"": 0}, ""right"": {""leaf"": ""84_dividends_paid"", ""depth"": 0}, ""depth"": 1}, ""depth"": 2}, ""right"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""leaf"": ""84_total_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""85_total_liabilities"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""86_total_liabilities"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""87_total_liabilities"", ""depth"": 0}, ""depth"": 3}, ""right"": {""leaf"": ""88_total_liabilities"", ""depth"": 0}, ""depth"": 4}, ""right"": {""leaf"": ""89_total_liabilities"", ""depth"": 0}, ""depth"": 5}, ""depth"": 6}","{""op"": ""sum"", ""left"": {""op"": ""diff"", ""left"": {""op"": ""mul"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""right"": {""kind"": ""leaf"", ""semantic_type_in"": [""rate""], ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}, ""right"": {""op"": ""diff"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""right"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}, ""depth"": 2, ""kind"": ""node""}, ""right"": {""kind"": ""time_agg"", ""op"": ""max"", ""depth"": 0}, ""depth"": 3, ""kind"": ""node""}",515750.90731680725,3,3,6,448367904,516659256,42,0.383,4,5,10,84_current_liabilities,current_liabilities,current liabilities,CRPH,2020,M_USD,62984.0,84_income_tax,income_tax,income tax,CRPH,2020,ratio,0.26308121613119645,84_dividends_paid,dividends_paid,dividends paid,CRPH,2020,M_USD,11801.0,84_dividends_paid,dividends_paid,dividends paid,CRPH,2020,M_USD,11801.0,84_total_liabilities,total_liabilities,total liabilities,CRPH,2020,M_USD,152160.0,85_total_liabilities,total_liabilities,total liabilities,CRPH,2021,M_USD,221096.0,86_total_liabilities,total_liabilities,total liabilities,CRPH,2022,M_USD,292999.0,87_total_liabilities,total_liabilities,total liabilities,CRPH,2023,M_USD,372880.0,88_total_liabilities,total_liabilities,total liabilities,CRPH,2024,M_USD,194929.0,89_total_liabilities,total_liabilities,total liabilities,CRPH,2025,M_USD,499181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2118,3,What is the value of the average inventories for ATGL across years 2023 through 2025,"ratio(sum(sum(27_inventories, 28_inventories), 29_inventories), 3.0)","{""op"": ""ratio"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""27_inventories"", ""depth"": 0}, ""right"": {""leaf"": ""28_inventories"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""29_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""literal"": 3.0, ""depth"": 0}, ""depth"": 3}","{""kind"": ""time_agg"", ""op"": ""avg"", ""depth"": 0}",4559.0,4,0,3,966676114,362734944,42,0.338,0,1,3,27_inventories,inventories,inventories,ATGL,2023,M_USD,3957.0,28_inventories,inventories,inventories,ATGL,2024,M_USD,5362.0,29_inventories,inventories,inventories,ATGL,2025,M_USD,4358.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2119,0,What is the value of the cash for ATGL in 2025,29_cash,"{""leaf"": ""29_cash"", ""depth"": 0}","{""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}",8454.0,2,0,0,773130074,895160803,42,0.481,0,1,1,29_cash,cash,cash,ATGL,2025,M_USD,8454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2120,7,May you calculate the result of total assets for NVST in 2023 scaled by ratio of inventories for NVST in 2023 to sum of ratio of sum of sum of sum of dividends paid for NVST in 2022 and dividends paid for NVST in 2023 and dividends paid for NVST in 2024 and dividends paid for NVST in 2025 to 4.0 and the maximum of accounts receivable for NVST using values from 2021 through 2025?,"mul(21_total_assets, ratio(21_inventories, sum(ratio(sum(sum(sum(20_dividends_paid, 21_dividends_paid), 22_dividends_paid), 23_dividends_paid), 4.0), max(max(max(max(19_accounts_receivable, 20_accounts_receivable), 21_accounts_receivable), 22_accounts_receivable), 23_accounts_receivable))))","{""op"": ""mul"", ""left"": {""leaf"": ""21_total_assets"", ""depth"": 0}, ""right"": {""op"": ""ratio"", ""left"": {""leaf"": ""21_inventories"", ""depth"": 0}, ""right"": {""op"": ""sum"", ""left"": {""op"": ""ratio"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""20_dividends_paid"", ""depth"": 0}, ""right"": {""leaf"": ""21_dividends_paid"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""22_dividends_paid"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""23_dividends_paid"", ""depth"": 0}, ""depth"": 3}, ""right"": {""literal"": 4.0, ""depth"": 0}, ""depth"": 4}, ""right"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""op"": ""max"", ""left"": {""leaf"": ""19_accounts_receivable"", ""depth"": 0}, ""right"": {""leaf"": ""20_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""21_accounts_receivable"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""22_accounts_receivable"", ""depth"": 0}, ""depth"": 3}, ""right"": {""leaf"": ""23_accounts_receivable"", ""depth"": 0}, ""depth"": 4}, ""depth"": 5}, ""depth"": 6}, ""depth"": 7}","{""op"": ""mul"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""right"": {""op"": ""ratio"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""right"": {""op"": ""sum"", ""left"": {""kind"": ""time_agg"", ""op"": ""avg"", ""depth"": 0}, ""right"": {""kind"": ""time_agg"", ""op"": ""max"", ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}, ""depth"": 2, ""kind"": ""node""}, ""depth"": 3, ""kind"": ""node""}",173615.831388102,4,3,7,541986065,683394004,42,0.481,3,4,11,21_total_assets,total_assets,total assets,NVST,2023,M_USD,525432.0,21_inventories,inventories,inventories,NVST,2023,M_USD,8748.0,20_dividends_paid,dividends_paid,dividends paid,NVST,2022,M_USD,1212.0,21_dividends_paid,dividends_paid,dividends paid,NVST,2023,M_USD,877.0,22_dividends_paid,dividends_paid,dividends paid,NVST,2024,M_USD,5642.0,23_dividends_paid,dividends_paid,dividends paid,NVST,2025,M_USD,2745.0,19_accounts_receivable,accounts_receivable,accounts receivable,NVST,2021,M_USD,15250.0,20_accounts_receivable,accounts_receivable,accounts receivable,NVST,2022,M_USD,20455.0,21_accounts_receivable,accounts_receivable,accounts receivable,NVST,2023,M_USD,17765.0,22_accounts_receivable,accounts_receivable,accounts receivable,NVST,2024,M_USD,23856.0,23_accounts_receivable,accounts_receivable,accounts receivable,NVST,2025,M_USD,10975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2121,4,Calculate the longterm assets for SLRI in 2024 .,longterm_assets,"{""derived"": ""longterm_assets"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""46_total_assets"", ""depth"": 0}, ""right"": {""derived"": ""current_assets"", ""expanded"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""op"": ""sum"", ""left"": {""leaf"": ""46_cash"", ""depth"": 0}, ""right"": {""leaf"": ""46_accounts_receivable"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""46_inventories"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""46_short_term_investments"", ""depth"": 0}, ""depth"": 3}, ""depth"": 3}, ""depth"": 4}, ""depth"": 4}","{""kind"": ""derived_concept"", ""name"": ""longterm_assets"", ""depth"": 0}",365161.0,2,0,4,716422822,482190328,42,0.533,0,1,5,46_total_assets,total_assets,total assets,SLRI,2024,M_USD,637517.0,46_cash,cash,cash,SLRI,2024,M_USD,60999.0,46_accounts_receivable,accounts_receivable,accounts receivable,SLRI,2024,M_USD,80829.0,46_inventories,inventories,inventories,SLRI,2024,M_USD,80451.0,46_short_term_investments,short_term_investments,short term investments,SLRI,2024,M_USD,50077.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2122,0,You should calculate the revenue for PCEN in 2020,48_revenue,"{""leaf"": ""48_revenue"", ""depth"": 0}","{""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}",160549.0,4,0,0,349198328,95901227,42,0.294,0,1,1,48_revenue,revenue,revenue,PCEN,2020,M_USD,160549.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2123,3,You should calculate the the minimum of total equity for TICB using values from 2021 through 2024,"min(min(min(61_total_equity, 62_total_equity), 63_total_equity), 64_total_equity)","{""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""op"": ""min"", ""left"": {""leaf"": ""61_total_equity"", ""depth"": 0}, ""right"": {""leaf"": ""62_total_equity"", ""depth"": 0}, ""depth"": 1}, ""right"": {""leaf"": ""63_total_equity"", ""depth"": 0}, ""depth"": 2}, ""right"": {""leaf"": ""64_total_equity"", ""depth"": 0}, ""depth"": 3}","{""kind"": ""time_agg"", ""op"": ""min"", ""depth"": 0}",118715.0,3,0,3,966630082,424554436,42,0.37,0,1,4,61_total_equity,total_equity,total equity,TICB,2021,M_USD,340707.0,62_total_equity,total_equity,total equity,TICB,2022,M_USD,118715.0,63_total_equity,total_equity,total equity,TICB,2023,M_USD,472468.0,64_total_equity,total_equity,total equity,TICB,2024,M_USD,429776.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2124,0,You should calculate the revenue for TICB in 2020,60_revenue,"{""leaf"": ""60_revenue"", ""depth"": 0}","{""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}",428824.0,4,0,0,719883588,955676575,42,0.468,0,1,1,60_revenue,revenue,revenue,TICB,2020,M_USD,428824.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2125,2,Give the result of dividends paid scaled by ratio of non operating expenses to dividends paid for ORFG in 2022 .,"mul(56_dividends_paid, ratio(56_non_operating_expenses, 56_dividends_paid))","{""op"": ""mul"", ""left"": {""leaf"": ""56_dividends_paid"", ""depth"": 0}, ""right"": {""op"": ""ratio"", ""left"": {""leaf"": ""56_non_operating_expenses"", ""depth"": 0}, ""right"": {""leaf"": ""56_dividends_paid"", ""depth"": 0}, ""depth"": 1}, ""depth"": 2}","{""op"": ""mul"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""right"": {""op"": ""ratio"", ""left"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""right"": {""kind"": ""leaf"", ""semantic_type_in"": [""amount""], ""depth"": 0}, ""depth"": 1, ""kind"": ""node""}, ""depth"": 2, ""kind"": ""node""}",10874.000000000002,2,2,2,693547595,95058246,42,0.454,2,3,3,56_dividends_paid,dividends_paid,dividends paid,ORFG,2022,M_USD,2421.0,56_non_operating_expenses,non_operating_expenses,non operating expenses,ORFG,2022,M_USD,10874.0,56_dividends_paid,dividends_paid,dividends paid,ORFG,2022,M_USD,2421.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2126,1,what's the value of the the minimum of current liabilities for CBSM using values from 2021 through 2022,"min(67_current_liabilities, 68_current_liabilities)","{""op"": ""min"", ""left"": {""leaf"": ""67_current_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""68_current_liabilities"", ""depth"": 0}, ""depth"": 1}","{""kind"": ""time_agg"", ""op"": ""min"", ""depth"": 0}",9946.0,3,0,1,614174731,676574610,42,0.381,0,1,2,67_current_liabilities,current_liabilities,current liabilities,CBSM,2021,M_USD,9946.0,68_current_liabilities,current_liabilities,current liabilities,CBSM,2022,M_USD,14260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2127,1,Determine the the minimum of total liabilities for PNHG using values from 2023 through 2024.,"min(33_total_liabilities, 34_total_liabilities)","{""op"": ""min"", ""left"": {""leaf"": ""33_total_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""34_total_liabilities"", ""depth"": 0}, ""depth"": 1}","{""kind"": ""time_agg"", ""op"": ""min"", ""depth"": 0}",9629.0,1,0,1,132909491,691397593,42,0.196,0,1,2,33_total_liabilities,total_liabilities,total liabilities,PNHG,2023,M_USD,9629.0,34_total_liabilities,total_liabilities,total liabilities,PNHG,2024,M_USD,26839.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2128,1,what do we obtain as the longterm liabilities for CPTH in 2024?,longterm_liabilities,"{""derived"": ""longterm_liabilities"", ""expanded"": {""op"": ""diff"", ""left"": {""leaf"": ""82_total_liabilities"", ""depth"": 0}, ""right"": {""leaf"": ""82_current_liabilities"", ""depth"": 0}, ""depth"": 1}, ""depth"": 1}","{""kind"": ""derived_concept"", ""name"": ""longterm_liabilities"", ""depth"": 0}",260787.0,1,0,1,664328419,581790182,42,0.579,0,1,2,82_total_liabilities,total_liabilities,total liabilities,CPTH,2024,M_USD,516676.0,82_current_liabilities,current_liabilities,current liabilities,CPTH,2024,M_USD,255889.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2129,1,Give the the minimum of accounts receivable for PCEN using values from 2021 through 2022.,"min(49_accounts_receivable, 50_accounts_receivable)","{""op"": ""min"", ""left"": {""leaf"": ""49_accounts_receivable"", ""depth"": 0}, ""right"": {""leaf"": ""50_accounts_receivable"", ""depth"": 0}, ""depth"": 1}","{""kind"": ""time_agg"", ""op"": ""min"", ""depth"": 0}",10261.0,4,0,1,560228870,203362264,42,0.351,0,1,2,49_accounts_receivable,accounts_receivable,accounts receivable,PCEN,2021,M_USD,13101.0,50_accounts_receivable,accounts_receivable,accounts receivable,PCEN,2022,M_USD,10261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
