<===== START gpt_oss_120b_mixed_depth_1_5_multiturn_90q | provider=Together | model=openai/gpt-oss-120b | dataset=multiturn-90q | limit=250 =====>
90Q are Sheet: /output/financial_spreadsheet.json
90Q are Questions: /output/original_questions.json
Loading datasets...
  Generating multi-turn chains from 250 90q questions...
  Generated 250 MT questions (250 multi-turn) → output_llm/mt_from_90q_20260809_005813.json

============================================================
  Evaluating model: openai/gpt-oss-120b
============================================================

-- Multi-turn evaluation (250 questions) --
  [1/250] CORRECT | turns=4 depth=4 | truth=365161.0000 pred=365161.0 | evaluate the longterm assets for SilverLine Retail...
  [230/250] CORRECT | turns=1 depth=2 | truth=15563.0000 pred=15563.0 | Determine the the maximum of operating expenses fo...
  [231/250] WRONG  | turns=1 depth=4 | truth=12073.0000 pred=16327.0 | which result follows from the the minimum of short...
  [232/250] CORRECT | turns=2 depth=2 | truth=-171283.0000 pred=-171283.0 | May you calculate the difference between gross pro...
  [233/250] CORRECT | turns=1 depth=2 | truth=26227.0000 pred=26227.0 | could you give the the maximum of operating expens...
  [234/250] CORRECT | turns=1 depth=5 | truth=4087.0000 pred=4087.0 | compute the the minimum of accounts receivable for...
  [235/250] CORRECT | turns=1 depth=1 | truth=112508.0000 pred=112508.0 | which value corresponds to the gross profit for He...
  [236/250] CORRECT | turns=1 depth=4 | truth=201280.0000 pred=201280.0 | whats the value of the the minimum of total liabil...
  [237/250] CORRECT | turns=1 depth=1 | truth=301219.0000 pred=301219.0 | What does the following give: gross profit for Cri...
  [238/250] CORRECT | turns=1 depth=5 | truth=88228.0000 pred=88228.0 | You should calculate the the maximum of revenue fo...
  [239/250] CORRECT | turns=1 depth=1 | truth=20948.0000 pred=20948.0 | State the the maximum of revenue for Pinnacle Heal...
  [240/250] CORRECT | turns=1 depth=1 | truth=125395.0000 pred=125395.0 | could you give the sum of cost of goods sold and t...
  [241/250] CORRECT | turns=1 depth=1 | truth=508854.0000 pred=508854.0 | Compute the gross profit for SilverLine Retail Inc...
  [242/250] WRONG  | turns=3 depth=4 first_fail@turn=3 | truth=-38451.0000 pred=38451.0 | you should give the difference between the minimum...
  [243/250] CORRECT | turns=5 depth=5 | truth=-191830.0000 pred=-191830.0 | What do we obtain as the difference between the mi...
  [244/250] CORRECT | turns=1 depth=1 | truth=10961.6926 pred=10961.69 | may you calculate the result of current liabilitie...
  [245/250] CORRECT | turns=1 depth=5 | truth=4671.0000 pred=4671.0 | state the the minimum of cash for Pacific Crest En...
  [246/250] CORRECT | turns=4 depth=3 | truth=537864.0000 pred=537864.0 | You should calculate the sum of difference between...
  [247/250] CORRECT | turns=5 depth=3 | truth=55702.6463 pred=55701.23 | What do we obtain as the sum of result of result o...
  [248/250] CORRECT | turns=1 depth=1 | truth=42991.0000 pred=42991.0 | May you calculate the the minimum of current liabi...
  [249/250] CORRECT | turns=2 depth=2 | truth=77293.0000 pred=77293.0 | Could you give the operating income for Meridian S...
  [250/250] CORRECT | turns=2 depth=5 | truth=99404.0000 pred=99404.0 | Compute the sum of the maximum of revenue for Quan...

============================================================
  Model: openai/gpt-oss-120b
============================================================
  10-Q      : 0/0  accuracy = 0.0%  (skipped 0)
  90-Q      : 0/0  accuracy = 0.0%  (skipped 0)
  Multi-turn: 244/250  accuracy = 97.6%  (skipped 0)
    recovered (correct final, wrong intermediate): 50
    turns=1: 132/136  accuracy = 97.1%
    turns=2: 27/27  accuracy = 100.0%  [2 recovered]
    turns=3: 36/38  accuracy = 94.7%  [20 recovered]
      first failure at — turn 2: 1, turn 3: 1  (of 2 failed)
    turns=4: 26/26  accuracy = 100.0%  [14 recovered]
    turns=5: 16/16  accuracy = 100.0%  [7 recovered]
    turns=6: 4/4  accuracy = 100.0%  [4 recovered]
    turns=8: 2/2  accuracy = 100.0%  [2 recovered]
    turns=9: 1/1  accuracy = 100.0%  [1 recovered]
  Overall   : 244/250  accuracy = 97.6%
============================================================

Results saved to output_llm/mixed_depth/gpt_oss_120b_mixed_depth_1_5_multiturn_90q_20260809_011601.json
CSV saved to output_llm/eval_results_20260809_011601.csv
<===== END gpt_oss_120b_mixed_depth_1_5_multiturn_90q =====>
