<===== START qwen_3_7_plus_mixed_depth_1_5_multiturn_90q | provider=Fireworks | model=accounts/fireworks/models/qwen3p7-plus | dataset=multiturn-90q | limit=250 =====>
90Q are Sheet: /output/financial_spreadsheet.json
90Q are Questions: /output/original_questions.json
Loading datasets...
  Generating multi-turn chains from 250 90q questions...
  Generated 250 MT questions (249 multi-turn) → output_llm/mt_from_90q_20260809_211639.json

============================================================
  Evaluating model: accounts/fireworks/models/qwen3p7-plus
============================================================

-- Multi-turn evaluation (250 questions) --
  [1/249] CORRECT | turns=1 depth=1 | truth=5171.0000 pred=5171.0 | Determine the longterm liabilities for Pinnacle He...
  [229/249] CORRECT | turns=3 depth=3 | truth=27487.0000 pred=27487.0 | what is the value of the current assets for Atlas ...
  [230/249] CORRECT | turns=1 depth=5 | truth=218005.0000 pred=218005.0 | State the the maximum of revenue for Pacific Crest...
  [231/249] CORRECT | turns=3 depth=5 | truth=18608.0000 pred=18608.0 | could you give the sum of the maximum of inventori...
  [232/249] CORRECT | turns=1 depth=1 | truth=-13546.0000 pred=-13546.0 | which value corresponds to the difference between ...
  [233/249] CORRECT | turns=2 depth=2 | truth=-60508.0000 pred=-60508.0 | Could you give the difference between capex and su...
  [234/249] CORRECT | turns=1 depth=5 | truth=12201.0000 pred=12201.0 | May you give the the minimum of operating expenses...
  [235/249] CORRECT | turns=1 depth=3 | truth=4078.0000 pred=4078.0 | What is the value of the the minimum of capex for ...
  [236/249] CORRECT | turns=4 depth=5 | truth=1680.9911 pred=1680.96 | could you give the result of the minimum of invent...
  [237/249] CORRECT | turns=1 depth=1 | truth=351964.0000 pred=351964.0 | Calculate the gross profit for SilverLine Retail I...
  [238/249] CORRECT | turns=4 depth=4 | truth=73944.0000 pred=73944.0 | What would be the sum of revenue and current asset...
  [239/249] CORRECT | turns=1 depth=2 | truth=24652.0000 pred=24652.0 | Which result follows from the the maximum of divid...
  [240/249] CORRECT | turns=1 depth=4 | truth=617154.0000 pred=617154.0 | evaluate the the minimum of revenue for SilverLine...
  [241/249] CORRECT | turns=1 depth=1 | truth=555191.0000 pred=555191.0 | What does the following give: sum of revenue and c...
  [242/249] CORRECT | turns=2 depth=2 | truth=299899.0000 pred=299899.0 | what do we obtain as the operating income for Crim...
  [243/249] CORRECT | turns=1 depth=3 | truth=190519.0000 pred=190519.0 | which result follows from the the minimum of total...
  [244/249] CORRECT | turns=1 depth=1 | truth=3908.0000 pred=3908.0 | State the gross profit for Pinnacle Health Group i...
  [245/249] CORRECT | turns=1 depth=1 | truth=8174.0000 pred=8174.0 | may you calculate the the maximum of capex for Nov...
  [246/249] CORRECT | turns=1 depth=4 | truth=19974.0000 pred=19974.0 | What's the value of the the maximum of operating e...
  [247/249] CORRECT | turns=2 depth=5 | truth=230607.0000 pred=230607.0 | what is the value of the sum of total equity for A...
  [248/249] CORRECT | turns=3 depth=3 | truth=59327.0000 pred=59327.0 | Which value corresponds to the current assets for ...
  [249/249] CORRECT | turns=2 depth=2 | truth=6179.0000 pred=6179.0 | what is the value of the operating income for Atla...

============================================================
  Model: accounts/fireworks/models/qwen3p7-plus
============================================================
  10-Q      : 0/0  accuracy = 0.0%  (skipped 0)
  90-Q      : 0/0  accuracy = 0.0%  (skipped 0)
  Multi-turn: 244/249  accuracy = 98.0%  (skipped 0)
    recovered (correct final, wrong intermediate): 54
    turns=1: 132/132  accuracy = 100.0%
    turns=2: 23/24  accuracy = 95.8%  [5 recovered]
      first failure at — turn 1: 1  (of 1 failed)
    turns=3: 43/43  accuracy = 100.0%  [23 recovered]
    turns=4: 27/27  accuracy = 100.0%  [18 recovered]
    turns=5: 17/19  accuracy = 89.5%  [6 recovered]
      first failure at — turn 1: 2  (of 2 failed)
    turns=6: 1/3  accuracy = 33.3%  [1 recovered]
      first failure at — turn 2: 1, turn 3: 1  (of 2 failed)
    turns=7: 1/1  accuracy = 100.0%  [1 recovered]
  Overall   : 244/249  accuracy = 98.0%
============================================================

Results saved to output_llm/last_runs_9th_aug_after_21/mixed_depth/qwen_3_7_plus_mixed_depth_1_5_multiturn_90q_20260809_212152.json
CSV saved to output_llm/eval_results_20260809_212152.csv
<===== END qwen_3_7_plus_mixed_depth_1_5_multiturn_90q =====>
